# Log started: 2023-01-02 00:59:49 +0100
[2023-01-02 00:59:49] ~↪ »RERUN« #FFFiesta Day 26 - FFXIII - A race through the series with @BGG02 - !Fiesta in chat for more information! (Final Fantasy XIII)~
[2023-01-02 00:59:49] Joining #sevensins..
[2023-01-02 04:10:53] VIEWERS: 56
[2023-01-02 04:12:53] VIEWERS: 56
[2023-01-02 04:14:53] VIEWERS: 53
[2023-01-02 04:16:53] VIEWERS: 53
[2023-01-02 04:18:53] VIEWERS: 53
[2023-01-02 04:20:53] VIEWERS: 53
[2023-01-02 04:22:54] VIEWERS: 55
[2023-01-02 04:24:56] VIEWERS: 55
[2023-01-02 04:26:18] <dragoonman3800> Happy new year to you Steven
[2023-01-02 04:26:58] VIEWERS: 58
[2023-01-02 04:28:59] VIEWERS: 58
[2023-01-02 04:30:58] VIEWERS: 58
[2023-01-02 04:32:58] Viewerstats (04:04-04:32): avg:55 min:52 max:58 [15/52+0+4+0+0−3+0+0+0+2+0+3+0+0+0]
[2023-01-02 04:32:58] VIEWERS: 58
[2023-01-02 04:34:58] VIEWERS: 54
[2023-01-02 04:36:58] VIEWERS: 56
[2023-01-02 04:38:58] VIEWERS: 56
[2023-01-02 04:40:58] VIEWERS: 56
[2023-01-02 04:42:58] VIEWERS: 54
[2023-01-02 04:44:58] VIEWERS: 54
[2023-01-02 04:46:58] VIEWERS: 54
[2023-01-02 04:49:02] VIEWERS: 53
[2023-01-02 04:51:02] VIEWERS: 53
[2023-01-02 04:51:54] <%monsturmun> Is a Rerun he is live in 4 hours
[2023-01-02 04:53:03] VIEWERS: 54
[2023-01-02 04:55:04] VIEWERS: 54
[2023-01-02 04:57:04] VIEWERS: 56
[2023-01-02 04:59:04] VIEWERS: 56
[2023-01-02 05:01:08] VIEWERS: 56
[2023-01-02 05:03:09] Viewerstats (04:34-05:03): avg:54 min:53 max:56 [15/54+2+0+0−2+0+0−1+0+1+0+2+0+0+0]
[2023-01-02 05:03:09] VIEWERS: 56
[2023-01-02 05:05:09] VIEWERS: 53
[2023-01-02 05:07:12] VIEWERS: 55
[2023-01-02 05:09:13] VIEWERS: 55
[2023-01-02 05:11:14] VIEWERS: 52
[2023-01-02 05:13:14] VIEWERS: 52
[2023-01-02 05:15:14] VIEWERS: 52
[2023-01-02 05:17:14] VIEWERS: 55
[2023-01-02 05:19:14] VIEWERS: 55
[2023-01-02 05:21:14] VIEWERS: 52
[2023-01-02 05:23:14] VIEWERS: 52
[2023-01-02 05:25:14] VIEWERS: 52
[2023-01-02 05:27:14] VIEWERS: 53
[2023-01-02 05:29:14] VIEWERS: 53
[2023-01-02 05:31:14] VIEWERS: 53
[2023-01-02 05:33:14] Viewerstats (05:05-05:33): avg:53 min:52 max:55 [15/53+2+0−3+0+0+3+0−3+0+0+1+0+0+0]
[2023-01-02 05:33:14] VIEWERS: 53
[2023-01-02 05:35:14] VIEWERS: 52
[2023-01-02 05:37:14] VIEWERS: 52
[2023-01-02 05:39:14] VIEWERS: 52
[2023-01-02 05:41:14] VIEWERS: 57
[2023-01-02 05:43:14] VIEWERS: 59
[2023-01-02 05:45:14] VIEWERS: 59
[2023-01-02 05:47:14] VIEWERS: 59
[2023-01-02 05:49:19] VIEWERS: 56
[2023-01-02 05:51:19] VIEWERS: 56
[2023-01-02 05:53:19] VIEWERS: 54
[2023-01-02 05:54:21] <%Iremicus> sevenWave
[2023-01-02 05:55:19] VIEWERS: 54
[2023-01-02 05:57:19] VIEWERS: 54
[2023-01-02 05:59:19] VIEWERS: 57
[2023-01-02 06:01:19] VIEWERS: 57
[2023-01-02 06:03:19] Viewerstats (05:35-06:03): avg:55 min:52 max:59 [15/52+0+0+5+2+0+0−3+0−2+0+0+3+0+0]
[2023-01-02 06:03:19] VIEWERS: 57
[2023-01-02 06:05:19] VIEWERS: 60
[2023-01-02 06:07:19] VIEWERS: 60
[2023-01-02 06:09:19] VIEWERS: 63
[2023-01-02 06:11:19] VIEWERS: 63
[2023-01-02 06:13:19] VIEWERS: 85
[2023-01-02 06:15:19] VIEWERS: 85
[2023-01-02 06:17:19] VIEWERS: 85
[2023-01-02 06:19:19] VIEWERS: 89
[2023-01-02 06:21:19] VIEWERS: 99
[2023-01-02 06:23:21] VIEWERS: 99
[2023-01-02 06:25:24] VIEWERS: 96
[2023-01-02 06:27:24] VIEWERS: 96
[2023-01-02 06:29:24] VIEWERS: 98
[2023-01-02 06:31:24] VIEWERS: 98
[2023-01-02 06:33:24] Viewerstats (06:05-06:33): avg:84 min:60 max:99 [15/60+0+3+0+22+0+0+4+10+0−3+0+2+0+0]
[2023-01-02 06:33:24] VIEWERS: 98
[2023-01-02 06:35:24] VIEWERS: 93
[2023-01-02 06:37:24] VIEWERS: 96
[2023-01-02 06:39:24] VIEWERS: 96
[2023-01-02 06:41:24] VIEWERS: 96
[2023-01-02 06:43:24] VIEWERS: 100
[2023-01-02 06:45:25] VIEWERS: 100
[2023-01-02 06:47:25] VIEWERS: 100
[2023-01-02 06:49:25] VIEWERS: 104
[2023-01-02 06:51:25] VIEWERS: 104
[2023-01-02 06:53:25] VIEWERS: 96
[2023-01-02 06:55:25] VIEWERS: 96
[2023-01-02 06:57:25] VIEWERS: 97
[2023-01-02 06:59:25] VIEWERS: 97
[2023-01-02 07:01:25] VIEWERS: 97
[2023-01-02 07:03:25] Viewerstats (06:35-07:03): avg:98 min:93 max:104 [15/93+3+0+0+4+0+0+4+0−8+0+1+0+0+2]
[2023-01-02 07:03:25] VIEWERS: 99
[2023-01-02 07:05:25] VIEWERS: 99
[2023-01-02 07:07:30] VIEWERS: 99
[2023-01-02 07:09:30] VIEWERS: 100
[2023-01-02 07:11:30] VIEWERS: 100
[2023-01-02 07:13:30] VIEWERS: 106
[2023-01-02 07:15:35] VIEWERS: 106
[2023-01-02 07:17:35] VIEWERS: 106
[2023-01-02 07:19:35] VIEWERS: 111
[2023-01-02 07:21:35] VIEWERS: 111
[2023-01-02 07:23:35] VIEWERS: 102
[2023-01-02 07:25:35] VIEWERS: 106
[2023-01-02 07:27:35] VIEWERS: 106
[2023-01-02 07:29:35] VIEWERS: 113
[2023-01-02 07:31:35] VIEWERS: 113
[2023-01-02 07:33:35] Viewerstats (07:05-07:33): avg:106 min:99 max:113 [15/99+0+1+0+6+0+0+5+0−9+4+0+7+0+0]
[2023-01-02 07:33:35] VIEWERS: 113
[2023-01-02 07:35:35] VIEWERS: 116
[2023-01-02 07:37:35] VIEWERS: 116
[2023-01-02 07:39:35] VIEWERS: 112
[2023-01-02 07:41:35] VIEWERS: 112
[2023-01-02 07:43:35] VIEWERS: 118
[2023-01-02 07:45:35] VIEWERS: 118
[2023-01-02 07:47:35] VIEWERS: 123
[2023-01-02 07:49:35] VIEWERS: 123
[2023-01-02 07:49:43] <Fragglegrag> ah, my least favorite FF to play but my favorite to watch speedran
[2023-01-02 07:51:35] VIEWERS: 125
[2023-01-02 07:53:35] VIEWERS: 125
[2023-01-02 07:55:35] VIEWERS: 125
[2023-01-02 07:57:35] VIEWERS: 125
[2023-01-02 07:59:35] VIEWERS: 122
[2023-01-02 08:01:40] VIEWERS: 122
[2023-01-02 08:03:40] Viewerstats (07:35-08:03): avg:121 min:112 max:133 [15/116+0−4+0+6+0+5+0+2+0+0+0−3+0+11]
[2023-01-02 08:03:40] VIEWERS: 133
[2023-01-02 08:05:40] VIEWERS: 133
[2023-01-02 08:07:40] VIEWERS: 133
[2023-01-02 08:09:40] VIEWERS: 123
[2023-01-02 08:11:40] VIEWERS: 123
[2023-01-02 08:13:40] VIEWERS: 123
[2023-01-02 08:15:45] VIEWERS: 123
[2023-01-02 08:17:45] VIEWERS: 126
[2023-01-02 08:19:45] VIEWERS: 126
[2023-01-02 08:21:45] VIEWERS: 131
[2023-01-02 08:23:45] VIEWERS: 131
[2023-01-02 08:25:45] VIEWERS: 131
[2023-01-02 08:27:45] VIEWERS: 134
[2023-01-02 08:29:45] VIEWERS: 127
[2023-01-02 08:31:45] VIEWERS: 127
[2023-01-02 08:32:19] <Max_6> peepoArrive
[2023-01-02 08:33:45] Viewerstats (08:05-08:33): avg:127 min:123 max:134 [15/133+0−10+0+0+0+3+0+5+0+0+3−7+0+0]
[2023-01-02 08:33:45] VIEWERS: 127
[2023-01-02 08:35:45] VIEWERS: 127
[2023-01-02 08:37:46] VIEWERS: 135
