# Log started: 2023-01-03 00:01:09 +0100
[2023-01-03 00:01:09] <%+Demonic_Vortex_Oni> sevenCool
[2023-01-03 03:22:36] VIEWERS: 65
[2023-01-03 03:24:36] VIEWERS: 65
[2023-01-03 03:26:36] VIEWERS: 65
[2023-01-03 03:28:36] VIEWERS: 66
[2023-01-03 03:30:36] VIEWERS: 66
[2023-01-03 03:32:36] VIEWERS: 67
[2023-01-03 03:34:36] VIEWERS: 67
[2023-01-03 03:36:36] VIEWERS: 67
[2023-01-03 03:38:39] VIEWERS: 65
[2023-01-03 03:40:41] Viewerstats (03:12-03:40): avg:64 min:59 max:67 [15/59+3+0−1+0+4+0+0+1+0+1+0+0−2+0]
[2023-01-03 03:40:41] VIEWERS: 65
[2023-01-03 03:42:41] VIEWERS: 61
[2023-01-03 03:44:41] VIEWERS: 61
[2023-01-03 03:46:41] VIEWERS: 66
[2023-01-03 03:48:41] VIEWERS: 66
[2023-01-03 03:50:42] VIEWERS: 66
[2023-01-03 03:52:45] VIEWERS: 66
[2023-01-03 03:54:46] VIEWERS: 65
[2023-01-03 03:56:48] VIEWERS: 64
[2023-01-03 03:58:49] VIEWERS: 64
[2023-01-03 04:00:49] VIEWERS: 61
[2023-01-03 04:02:51] VIEWERS: 61
[2023-01-03 04:04:51] VIEWERS: 61
[2023-01-03 04:06:51] VIEWERS: 61
[2023-01-03 04:08:51] VIEWERS: 62
[2023-01-03 04:10:51] Viewerstats (03:42-04:10): avg:63 min:61 max:66 [15/61+0+5+0+0+0−1−1+0−3+0+0+0+1+0]
[2023-01-03 04:10:51] VIEWERS: 62
[2023-01-03 04:12:51] VIEWERS: 63
[2023-01-03 04:14:51] VIEWERS: 63
[2023-01-03 04:16:51] VIEWERS: 64
[2023-01-03 04:18:51] VIEWERS: 64
[2023-01-03 04:20:51] VIEWERS: 64
[2023-01-03 04:22:51] VIEWERS: 63
[2023-01-03 04:24:51] VIEWERS: 63
[2023-01-03 04:26:51] VIEWERS: 62
[2023-01-03 04:28:51] VIEWERS: 62
[2023-01-03 04:30:51] VIEWERS: 60
[2023-01-03 04:32:51] VIEWERS: 60
[2023-01-03 04:34:52] VIEWERS: 60
[2023-01-03 04:36:52] VIEWERS: 61
[2023-01-03 04:38:52] VIEWERS: 61
[2023-01-03 04:40:52] Viewerstats (04:12-04:40): avg:62 min:60 max:64 [15/63+0+1+0+0−1+0−1+0−2+0+0+1+0−1]
[2023-01-03 04:40:52] VIEWERS: 60
[2023-01-03 04:42:56] VIEWERS: 60
[2023-01-03 04:44:57] VIEWERS: 60
[2023-01-03 04:47:02] VIEWERS: 60
[2023-01-03 04:49:02] VIEWERS: 63
[2023-01-03 04:51:02] VIEWERS: 63
[2023-01-03 04:53:02] VIEWERS: 64
[2023-01-03 04:55:02] VIEWERS: 64
[2023-01-03 04:57:02] VIEWERS: 64
[2023-01-03 04:59:02] VIEWERS: 62
[2023-01-03 05:01:02] VIEWERS: 62
[2023-01-03 05:03:02] VIEWERS: 66
[2023-01-03 05:05:02] VIEWERS: 66
[2023-01-03 05:07:02] VIEWERS: 66
[2023-01-03 05:09:02] VIEWERS: 64
[2023-01-03 05:11:02] Viewerstats (04:42-05:11): avg:63 min:60 max:66 [15/60+0+0+3+0+1+0+0−2+0+4+0+0−2+0]
[2023-01-03 05:11:02] VIEWERS: 64
[2023-01-03 05:13:02] VIEWERS: 64
[2023-01-03 05:15:02] VIEWERS: 64
[2023-01-03 05:17:07] VIEWERS: 66
[2023-01-03 05:19:07] VIEWERS: 70
[2023-01-03 05:21:07] VIEWERS: 70
[2023-01-03 05:23:07] VIEWERS: 70
[2023-01-03 05:25:08] VIEWERS: 64
[2023-01-03 05:27:08] VIEWERS: 64
[2023-01-03 05:29:11] VIEWERS: 61
[2023-01-03 05:31:12] VIEWERS: 61
[2023-01-03 05:33:12] VIEWERS: 67
[2023-01-03 05:35:14] VIEWERS: 67
[2023-01-03 05:37:15] VIEWERS: 69
[2023-01-03 05:39:17] VIEWERS: 69
[2023-01-03 05:41:17] Viewerstats (05:13-05:41): avg:66 min:61 max:70 [15/64+0+2+4+0+0−6+0−3+0+6+0+2+0−2]
[2023-01-03 05:41:17] VIEWERS: 67
[2023-01-03 05:43:17] VIEWERS: 67
[2023-01-03 05:45:17] VIEWERS: 69
[2023-01-03 05:47:17] VIEWERS: 69
[2023-01-03 05:49:22] VIEWERS: 66
[2023-01-03 05:51:22] VIEWERS: 66
[2023-01-03 05:53:22] VIEWERS: 64
[2023-01-03 05:55:22] VIEWERS: 64
[2023-01-03 05:57:22] VIEWERS: 64
[2023-01-03 05:59:27] VIEWERS: 61
[2023-01-03 06:01:29] VIEWERS: 61
[2023-01-03 06:03:32] VIEWERS: 61
[2023-01-03 06:05:32] VIEWERS: 61
[2023-01-03 06:07:32] VIEWERS: 62
[2023-01-03 06:09:32] VIEWERS: 62
[2023-01-03 06:10:49] <%+mozzynj> whos here finameShy
[2023-01-03 06:11:32] Viewerstats (05:43-06:11): avg:65 min:61 max:79 [15/67+2+0−3+0−2+0+0−3+0+0+0+1+0+17]
[2023-01-03 06:11:32] VIEWERS: 79
[2023-01-03 06:13:32] VIEWERS: 79
[2023-01-03 06:15:32] VIEWERS: 94
[2023-01-03 06:17:32] VIEWERS: 94
[2023-01-03 06:19:33] VIEWERS: 94
[2023-01-03 06:21:38] VIEWERS: 94
[2023-01-03 06:23:38] VIEWERS: 89
[2023-01-03 06:25:38] VIEWERS: 89
[2023-01-03 06:27:38] VIEWERS: 89
[2023-01-03 06:29:38] VIEWERS: 85
[2023-01-03 06:31:38] VIEWERS: 85
[2023-01-03 06:33:38] VIEWERS: 85
[2023-01-03 06:35:40] VIEWERS: 85
[2023-01-03 06:36:53] <monsturmun> bggWave
[2023-01-03 06:37:43] VIEWERS: 85
[2023-01-03 06:39:43] VIEWERS: 87
[2023-01-03 06:41:43] Viewerstats (06:13-06:41): avg:88 min:79 max:94 [15/79+15+0+0+0−5+0+0−4+0+0+0+0+2+0]
[2023-01-03 06:41:43] VIEWERS: 87
[2023-01-03 06:43:43] VIEWERS: 88
[2023-01-03 06:45:43] VIEWERS: 88
[2023-01-03 06:47:43] VIEWERS: 88
[2023-01-03 06:49:43] VIEWERS: 90
[2023-01-03 06:51:46] VIEWERS: 90
[2023-01-03 06:53:48] VIEWERS: 90
[2023-01-03 06:55:48] VIEWERS: 96
[2023-01-03 06:57:48] VIEWERS: 96
[2023-01-03 06:59:48] VIEWERS: 87
[2023-01-03 07:01:48] VIEWERS: 87
[2023-01-03 07:03:48] VIEWERS: 87
[2023-01-03 07:05:48] VIEWERS: 87
[2023-01-03 07:07:48] VIEWERS: 91
[2023-01-03 07:08:57] <%wee_wah> finameLurk
[2023-01-03 07:09:48] VIEWERS: 91
